BTCPERP,holdings,cash,total,returns,time
-60997.0,-60997.0,100000.0,39003.0,,2021-11-04 17:31:00
-60966.0,-60966.0,100000.0,39034.0,0.0007948106555906165,2021-11-04 17:32:00
-60899.0,-60899.0,100000.0,39101.0,0.0017164523236152807,2021-11-04 17:33:00
-60891.0,-60891.0,100000.0,39109.0,0.0002045983478682345,2021-11-04 17:34:00
-61054.0,-61054.0,100000.0,38946.0,-0.004167838604924645,2021-11-04 17:43:00
-60853.0,-60853.0,100000.0,39147.0,0.005160992142967169,2021-11-04 18:07:00
-60928.0,-60928.0,100000.0,39072.0,-0.0019158556211203992,2021-11-04 18:08:00
-61008.0,-61008.0,100000.0,38992.0,-0.0020475020475020367,2021-11-04 18:09:00
-61088.0,-61088.0,100000.0,38912.0,-0.002051702913418163,2021-11-04 18:10:00
-61174.0,-61174.0,100000.0,38826.0,-0.0022101151315789824,2021-11-04 18:11:00
-61204.0,-61204.0,100000.0,38796.0,-0.0007726781023025264,2021-11-04 18:12:00
-60867.0,-60867.0,100000.0,39133.0,0.00868646252190941,2021-11-04 19:00:00
-60886.0,-60886.0,100000.0,39114.0,-0.00048552372677790334,2021-11-04 19:01:00
-60892.0,-60892.0,100000.0,39108.0,-0.00015339776039269282,2021-11-04 19:02:00
61464.0,61464.0,-22928.0,38536.0,-0.014626163444819484,2021-11-04 20:28:00
61454.0,61454.0,-22928.0,38526.0,-0.0002594976126220061,2021-11-04 20:29:00
61427.0,61427.0,-22928.0,38499.0,-0.0007008254166017691,2021-11-04 20:30:00
61407.0,61407.0,-22928.0,38479.0,-0.0005194940128314673,2021-11-04 20:31:00
61396.0,61396.0,-22928.0,38468.0,-0.0002858702149224346,2021-11-04 20:32:00
61396.0,61396.0,-22928.0,38468.0,0.0,2021-11-04 20:33:00
61397.0,61397.0,-22928.0,38469.0,2.599563273375516e-05,2021-11-04 20:34:00
61404.0,61404.0,-22928.0,38476.0,0.00018196469884834698,2021-11-04 20:35:00
61365.0,61365.0,-22928.0,38437.0,-0.0010136188793014034,2021-11-04 21:00:00
61390.0,61390.0,-22928.0,38462.0,0.0006504149647474922,2021-11-04 21:01:00
61398.0,61398.0,-22928.0,38470.0,0.0002079975040298887,2021-11-04 21:02:00
61398.0,61398.0,-22928.0,38470.0,0.0,2021-11-04 21:03:00
61402.0,61402.0,-22928.0,38474.0,0.00010397712503240619,2021-11-04 21:04:00
61419.0,61419.0,-22928.0,38491.0,0.00044185683838438017,2021-11-04 21:05:00
61438.0,61438.0,-22928.0,38510.0,0.000493621885635509,2021-11-04 21:06:00
61440.0,61440.0,-22928.0,38512.0,5.193456245122796e-05,2021-11-04 21:07:00
61400.0,61400.0,-22928.0,38472.0,-0.0010386373078521416,2021-11-04 21:08:00
61298.0,61298.0,-22928.0,38370.0,-0.002651278852152217,2021-11-04 21:09:00
61287.0,61287.0,-22928.0,38359.0,-0.00028668230388328997,2021-11-04 21:10:00
