BTCPERP,holdings,cash,total,returns,time
61112.0,61112.0,22000.0,83112.0,,2021-11-01 19:05:00
61120.0,61120.0,22000.0,83120.0,9.625565501969469e-05,2021-11-01 19:06:00
61160.0,61160.0,22000.0,83160.0,0.00048123195380167516,2021-11-01 19:07:00
61071.0,61071.0,22000.0,83071.0,-0.0010702260702261102,2021-11-01 19:21:00
61108.0,61108.0,22000.0,83108.0,0.00044540212589239125,2021-11-01 19:22:00
61134.0,61134.0,22000.0,83134.0,0.0003128459354093671,2021-11-01 19:23:00
61022.0,61022.0,22000.0,83022.0,-0.0013472225563547768,2021-11-01 19:33:00
61001.0,61001.0,22000.0,83001.0,-0.00025294500252948104,2021-11-01 19:34:00
60998.0,60998.0,22000.0,82998.0,-3.6144142841698645e-05,2021-11-01 19:35:00
-60987.0,-60987.0,143974.0,82987.0,-0.0001325333140557161,2021-11-01 19:36:00
-60957.0,-60957.0,143974.0,83017.0,0.0003615024039909098,2021-11-01 19:37:00
-60944.0,-60944.0,143974.0,83030.0,0.00015659443246573979,2021-11-01 19:38:00
-60939.0,-60939.0,143974.0,83035.0,6.0219197880240216e-05,2021-11-01 19:39:00
-60915.0,-60915.0,143974.0,83059.0,0.0002890347443849084,2021-11-01 19:40:00
-60902.0,-60902.0,143974.0,83072.0,0.0001565152481970422,2021-11-01 19:41:00
61103.0,61103.0,21768.0,82871.0,-0.0024195878274267946,2021-11-01 19:54:00
61174.0,61174.0,21768.0,82942.0,0.0008567532671259759,2021-11-01 19:55:00
61228.0,61228.0,21768.0,82996.0,0.0006510573653879526,2021-11-01 19:56:00
61237.0,61237.0,21768.0,83005.0,0.00010843896091383698,2021-11-01 19:57:00
61280.0,61280.0,21768.0,83048.0,0.0005180410818625969,2021-11-01 19:58:00
61488.0,61488.0,21768.0,83256.0,0.0025045756670840635,2021-11-01 19:59:00
-60629.0,-60629.0,143026.0,82397.0,-0.010317574709330257,2021-11-01 20:36:00
-60675.0,-60675.0,143026.0,82351.0,-0.0005582727526487474,2021-11-01 20:37:00
-60708.0,-60708.0,143026.0,82318.0,-0.00040072373134514283,2021-11-01 20:38:00
-60494.0,-60494.0,143026.0,82532.0,0.0025996744332952293,2021-11-01 21:13:00
-60559.0,-60559.0,143026.0,82467.0,-0.000787573304899869,2021-11-01 21:14:00
-60705.0,-60705.0,143026.0,82321.0,-0.0017704051317496416,2021-11-01 21:15:00
-60721.0,-60721.0,143026.0,82305.0,-0.00019436109862613904,2021-11-01 21:16:00
-60651.0,-60651.0,143026.0,82375.0,0.0008504951096530711,2021-11-01 21:35:00
-60610.0,-60610.0,143026.0,82416.0,0.0004977238239756154,2021-11-01 21:36:00
-60567.0,-60567.0,143026.0,82459.0,0.0005217433508055702,2021-11-01 21:37:00
-60568.0,-60568.0,143026.0,82458.0,-1.2127238991466172e-05,2021-11-01 21:38:00
-60634.0,-60634.0,143026.0,82392.0,-0.0008004074801717387,2021-11-01 21:39:00
-60747.0,-60747.0,143026.0,82279.0,-0.001371492377900796,2021-11-01 21:40:00
60781.0,60781.0,21464.0,82245.0,-0.0004132281627147183,2021-11-01 21:48:00
60820.0,60820.0,21464.0,82284.0,0.00047419296005846157,2021-11-01 21:49:00
60867.0,60867.0,21464.0,82331.0,0.0005711924553983838,2021-11-01 21:50:00
60891.0,60891.0,21464.0,82355.0,0.0002915062370187904,2021-11-01 21:51:00
60911.0,60911.0,21464.0,82375.0,0.00024285107158039665,2021-11-01 21:52:00
60916.0,60916.0,21464.0,82380.0,6.0698027314121106e-05,2021-11-01 21:53:00
60836.0,60836.0,21464.0,82300.0,-0.0009711094925952679,2021-11-01 21:57:00
60834.0,60834.0,21464.0,82298.0,-2.4301336573495647e-05,2021-11-01 21:58:00
60767.0,60767.0,21464.0,82231.0,-0.0008141145592845955,2021-11-01 21:59:00
61176.0,61176.0,21464.0,82640.0,0.0049737933382787425,2021-11-01 22:42:00
61188.0,61188.0,21464.0,82652.0,0.00014520813165530555,2021-11-01 22:43:00
61197.0,61197.0,21464.0,82661.0,0.00010889028698635173,2021-11-01 22:44:00
-61153.0,-61153.0,143770.0,82617.0,-0.0005322945524491862,2021-11-01 22:57:00
-61143.0,-61143.0,143770.0,82627.0,0.00012104046382699352,2021-11-01 22:58:00
-61122.0,-61122.0,143770.0,82648.0,0.0002541542110932049,2021-11-01 22:59:00
-61157.0,-61157.0,143770.0,82613.0,-0.0004234827219049553,2021-11-01 23:04:00
-61161.0,-61161.0,143770.0,82609.0,-4.841852977133243e-05,2021-11-01 23:05:00
-61169.0,-61169.0,143770.0,82601.0,-9.684174847779392e-05,2021-11-01 23:06:00
-61193.0,-61193.0,143770.0,82577.0,-0.0002905533831309981,2021-11-01 23:07:00
-61096.0,-61096.0,143770.0,82674.0,0.0011746612252805377,2021-11-01 23:27:00
-61081.0,-61081.0,143770.0,82689.0,0.00018143551781690803,2021-11-01 23:28:00
-61069.0,-61069.0,143770.0,82701.0,0.00014512208395323078,2021-11-01 23:29:00
-61093.0,-61093.0,143770.0,82677.0,-0.0002902020531795335,2021-11-01 23:39:00
-61101.0,-61101.0,143770.0,82669.0,-9.676209828612947e-05,2021-11-01 23:40:00
-61134.0,-61134.0,143770.0,82636.0,-0.00039918228114532717,2021-11-01 23:41:00
-61139.0,-61139.0,143770.0,82631.0,-6.050631685949881e-05,2021-11-01 23:42:00
