,BTC-PERP,holdings,cash,total,returns,startTime
403,-86127.0,-86127.0,22000.0,-64127.0,,2021-10-11T17:56:00+00:00
402,-86115.0,-86115.0,22000.0,-64115.0,-0.00018712866655234972,2021-10-11T17:55:00+00:00
401,-86058.0,-86058.0,22000.0,-64058.0,-0.0008890275286594918,2021-10-11T17:54:00+00:00
397,-85980.0,-85980.0,22000.0,-63980.0,-0.001217646507852277,2021-10-11T17:50:00+00:00
396,-85998.0,-85998.0,22000.0,-63998.0,0.00028133791809947795,2021-10-11T17:49:00+00:00
395,-86020.5,-86020.5,22000.0,-64020.5,0.0003515734866714748,2021-10-11T17:48:00+00:00
372,-86241.0,-86241.0,22000.0,-64241.0,0.0034442092767159593,2021-10-11T17:25:00+00:00
371,-86233.5,-86233.5,22000.0,-64233.5,-0.00011674787129711817,2021-10-11T17:24:00+00:00
370,-86122.5,-86122.5,22000.0,-64122.5,-0.0017280702437201256,2021-10-11T17:23:00+00:00
369,-86143.5,-86143.5,22000.0,-64143.5,0.0003274981480758665,2021-10-11T17:22:00+00:00
368,-86194.5,-86194.5,22000.0,-64194.5,0.0007950922540864713,2021-10-11T17:21:00+00:00
367,-86272.5,-86272.5,22000.0,-64272.5,0.0012150573647276008,2021-10-11T17:20:00+00:00
366,-86280.0,-86280.0,22000.0,-64280.0,0.00011669065307873261,2021-10-11T17:19:00+00:00
365,-86295.0,-86295.0,22000.0,-64295.0,0.00023335407591784652,2021-10-11T17:18:00+00:00
351,-85903.5,-85903.5,22000.0,-63903.5,-0.006089120460377906,2021-10-11T17:04:00+00:00
350,-85876.5,-85876.5,22000.0,-63876.5,-0.0004225120689790307,2021-10-11T17:03:00+00:00
349,-85854.0,-85854.0,22000.0,-63854.0,-0.0003522422174039308,2021-10-11T17:02:00+00:00
348,-85881.0,-85881.0,22000.0,-63881.0,0.00042283960284406064,2021-10-11T17:01:00+00:00
347,-85887.0,-85887.0,22000.0,-63887.0,9.392464112956134e-05,2021-10-11T17:00:00+00:00
346,-85960.5,-85960.5,22000.0,-63960.5,0.00115046879646874,2021-10-11T16:59:00+00:00
345,-85995.0,-85995.0,22000.0,-63995.0,0.000539395408103438,2021-10-11T16:58:00+00:00
331,-86031.0,-86031.0,22000.0,-64031.0,0.0005625439487459971,2021-10-11T16:44:00+00:00
330,-86010.0,-86010.0,22000.0,-64010.0,-0.00032796614140029323,2021-10-11T16:43:00+00:00
329,-85942.5,-85942.5,22000.0,-63942.5,-0.001054522730823293,2021-10-11T16:42:00+00:00
328,-85941.0,-85941.0,22000.0,-63941.0,-2.345857606445012e-05,2021-10-11T16:41:00+00:00
327,-85983.0,-85983.0,22000.0,-63983.0,0.0006568555386996522,2021-10-11T16:40:00+00:00
326,-85984.5,-85984.5,22000.0,-63984.5,2.344372723994681e-05,2021-10-11T16:39:00+00:00
325,-86040.0,-86040.0,22000.0,-64040.0,0.0008673975728497041,2021-10-11T16:38:00+00:00
321,-86212.5,-86212.5,22000.0,-64212.5,0.002693628981886409,2021-10-11T16:34:00+00:00
320,-86122.5,-86122.5,22000.0,-64122.5,-0.0014015962624099876,2021-10-11T16:33:00+00:00
319,-86118.0,-86118.0,22000.0,-64118.0,-7.017817458765396e-05,2021-10-11T16:32:00+00:00
318,-86139.0,-86139.0,22000.0,-64139.0,0.00032752113291123486,2021-10-11T16:31:00+00:00
317,-86229.0,-86229.0,22000.0,-64229.0,0.0014032024197445647,2021-10-11T16:30:00+00:00
316,-86242.5,-86242.5,22000.0,-64242.5,0.00021018543025741465,2021-10-11T16:29:00+00:00
311,-86253.0,-86253.0,22000.0,-64253.0,0.00016344320348671282,2021-10-11T16:24:00+00:00
310,-86194.5,-86194.5,22000.0,-64194.5,-0.000910463324669708,2021-10-11T16:23:00+00:00
